LHipYawPitch,LHipRoll,LHipPitch,LKneePitch,LAnklePitch,LAnkleRoll,RHipYawPitch,RHipRoll,RHipPitch,RKneePitch,RAnklePitch,RAnkleRoll
0,0.3178128,-0.91375,1.685503,-0.963866,-0.4873856,0,0.2330256,-0.362668,1.096414,-0.600806,-0.2957584
0,0.3215872,-0.922321,1.689207,-0.958907,-0.490328,0,0.2330576,-0.360207,1.095986,-0.602333,-0.2962064
0,0.325112,-0.930414,1.692224,-0.953465,-0.4926848,0,0.232992,-0.35784,1.095586,-0.603863,-0.296528
0,0.3283664,-0.938014,1.694549,-0.947552,-0.4944432,0,0.2328304,-0.355566,1.095211,-0.605398,-0.2967216
0,0.3313296,-0.945109,1.696178,-0.94118,-0.495592,0,0.2325744,-0.353385,1.094864,-0.606937,-0.2967904
0,0.333984,-0.951686,1.697109,-0.934363,-0.4961232,0,0.232224,-0.351295,1.094542,-0.608482,-0.2967328
0,0.336312,-0.957736,1.69734,-0.927115,-0.496032,0,0.2317792,-0.349297,1.094247,-0.610034,-0.2965504
0,0.338296,-0.96325,1.696872,-0.919454,-0.49532,0,0.23124,-0.347388,1.093978,-0.611593,-0.29624
0,0.3399264,-0.968221,1.695706,-0.911397,-0.4939904,0,0.2306064,-0.345569,1.093734,-0.61316,-0.2958048
0,0.3411872,-0.972644,1.693845,-0.902963,-0.4920496,0,0.2298784,-0.343839,1.093516,-0.614736,-0.2952432
0,0.3420704,-0.976514,1.691294,-0.894173,-0.4895072,0,0.2290576,-0.342195,1.093323,-0.616322,-0.2945536
0,0.342568,-0.979829,1.688059,-0.885046,-0.4863808,0,0.228144,-0.340639,1.093155,-0.617918,-0.2937376
0,0.3426752,-0.982587,1.684147,-0.875605,-0.4826832,0,0.2271344,-0.339168,1.093011,-0.619524,-0.2927952
0,0.3423888,-0.98479,1.679567,-0.865871,-0.4784384,0,0.226032,-0.337782,1.092891,-0.621143,-0.2917232
0,0.3417088,-0.986438,1.674329,-0.855868,-0.4736672,0,0.2248352,-0.33648,1.092794,-0.622774,-0.2905232
0,0.3406352,-0.987536,1.668443,-0.845618,-0.4683952,0,0.2235424,-0.335261,1.092719,-0.624418,-0.2891936
0,0.339176,-0.988087,1.661924,-0.835144,-0.4626496,0,0.2221552,-0.334123,1.092666,-0.626075,-0.2877344
0,0.3373328,-0.988099,1.654785,-0.824469,-0.4564576,0,0.2206736,-0.333067,1.092635,-0.627747,-0.286144
0,0.3351168,-0.987577,1.647042,-0.813616,-0.4498496,0,0.219096,-0.33209,1.092624,-0.629433,-0.2844224
0,0.332536,-0.986531,1.638711,-0.802608,-0.442856,0,0.2174208,-0.331192,1.092632,-0.631135,-0.2825664
0,0.3296032,-0.984971,1.629811,-0.791468,-0.4355088,0,0.2156496,-0.330371,1.092659,-0.632852,-0.280576
0,0.3263296,-0.982907,1.62036,-0.780216,-0.4278384,0,0.2137808,-0.329627,1.092703,-0.634586,-0.2784512
0,0.3227296,-0.980351,1.610379,-0.768877,-0.4198752,0,0.2118128,-0.328958,1.092765,-0.636337,-0.2761904
0,0.3188192,-0.977318,1.59989,-0.757469,-0.4116512,0,0.2097456,-0.328363,1.092841,-0.638105,-0.2737904
0,0.3146128,-0.973821,1.588916,-0.746016,-0.4031952,0,0.2075792,-0.32784,1.092932,-0.639891,-0.2712512
0,0.3101264,-0.969876,1.577481,-0.734536,-0.394536,0,0.205312,-0.327389,1.093036,-0.641695,-0.2685712
0,0.3053776,-0.965498,1.56561,-0.72305,-0.3857008,0,0.2029424,-0.327008,1.093151,-0.643518,-0.2657488
0,0.3003808,-0.960706,1.553329,-0.711578,-0.3767168,0,0.2004688,-0.326695,1.093277,-0.645359,-0.2627824
0,0.2951536,-0.955516,1.540667,-0.700138,-0.367608,0,0.1978928,-0.32645,1.093411,-0.64722,-0.2596704
0,0.289712,-0.949948,1.527651,-0.688749,-0.3583968,0,0.1952112,-0.32627,1.093552,-0.649101,-0.2564096
0,0.284072,-0.944021,1.514311,-0.677431,-0.3491072,0,0.1924224,-0.326154,1.093699,-0.651001,-0.253
0,0.2782464,-0.937756,1.500679,-0.666199,-0.3397584,0,0.1895264,-0.3261,1.093849,-0.652922,-0.2494384
0,0.2722528,-0.931172,1.486786,-0.655074,-0.3303664,0,0.1865216,-0.326106,1.094,-0.654863,-0.2457232
0,0.2661024,-0.924291,1.472666,-0.644072,-0.3209472,0,0.1834064,-0.326171,1.094151,-0.656825,-0.2418512
0,0.259808,-0.917135,1.458351,-0.633211,-0.3115168,0,0.1801792,-0.326293,1.0943,-0.658808,-0.2378224
0,0.253384,-0.909725,1.443878,-0.622508,-0.3020864,0,0.17684,-0.326469,1.094444,-0.660812,-0.233632
0,0.2468384,-0.902085,1.429283,-0.611982,-0.2926688,0,0.173384,-0.326697,1.09458,-0.662837,-0.2292784
0,0.2401824,-0.894236,1.414602,-0.60165,-0.2832688,0,0.1698128,-0.326976,1.094707,-0.664883,-0.22476
0,0.233424,-0.886203,1.399875,-0.591529,-0.2738976,0,0.1661232,-0.327302,1.094821,-0.666951,-0.2200736
0,0.2265728,-0.878007,1.385139,-0.581637,-0.2645584,0,0.1623152,-0.327673,1.09492,-0.669039,-0.2152176
0,0.2196336,-0.869673,1.370435,-0.571994,-0.255256,0,0.158384,-0.328087,1.095,-0.671149,-0.2101872
0,0.2126144,-0.861223,1.355803,-0.562616,-0.245992,0,0.1543296,-0.32854,1.095059,-0.673281,-0.2049824
0,0.2055168,-0.852681,1.341287,-0.553523,-0.236768,0,0.1501504,-0.32903,1.095094,-0.675433,-0.1995984
0,0.1983472,-0.84407,1.326927,-0.544734,-0.227584,0,0.1458448,-0.329554,1.0951,-0.677605,-0.194032
0,0.1911056,-0.835412,1.312766,-0.536268,-0.2184384,0,0.1414096,-0.330108,1.095074,-0.679799,-0.1882816
0,0.1837952,-0.82673,1.298849,-0.528144,-0.209328,0,0.1368432,-0.330688,1.095012,-0.682013,-0.1823456
0,0.1764176,-0.818046,1.285218,-0.520382,-0.2002464,0,0.132144,-0.331292,1.094911,-0.684246,-0.1762176
0,0.1689712,-0.809382,1.271919,-0.513003,-0.191192,0,0.1273088,-0.331915,1.094765,-0.686499,-0.1698976
0,0.1614544,-0.800758,1.258995,-0.506026,-0.1821552,0,0.122336,-0.332553,1.09457,-0.688771,-0.1633808
0,0.1538656,-0.792193,1.24649,-0.499471,-0.1731296,0,0.117224,-0.333201,1.094322,-0.691061,-0.156664
0,0.1462016,-0.783707,1.234447,-0.493359,-0.1641072,0,0.1119712,-0.333855,1.094015,-0.693369,-0.1497456
0,0.1384592,-0.775316,1.22291,-0.48771,-0.1550768,0,0.1065744,-0.334511,1.093643,-0.695694,-0.1426224
0,0.1306336,-0.767038,1.21192,-0.482544,-0.1460288,0,0.1010304,-0.335162,1.093202,-0.698035,-0.1352896
0,0.12272,-0.758886,1.201519,-0.477882,-0.136952,0,0.0953376,-0.335803,1.092686,-0.700391,-0.1277456
0,0.114712,-0.750872,1.191745,-0.473741,-0.127832,0,0.0894944,-0.33643,1.092087,-0.702762,-0.1199872
0,0.1066016,-0.743006,1.182636,-0.470141,-0.1186592,0,0.0834992,-0.337034,1.0914,-0.705145,-0.1120112
0,0.0983856,-0.735297,1.174228,-0.4671,-0.109416,0,0.0773472,-0.337611,1.090617,-0.70754,-0.1038128
0,0.0900528,-0.727748,1.166551,-0.464635,-0.100088,0,0.0710368,-0.338153,1.089731,-0.709945,-0.095392
0,0.0815952,-0.720362,1.159637,-0.462762,-0.0906608,0,0.0645664,-0.338653,1.088735,-0.712359,-0.0867456
0,0.0730064,-0.713138,1.153511,-0.461496,-0.0811152,0,0.0579344,-0.339103,1.087619,-0.714779,-0.0778688
0,0.0642768,-0.70607,1.148196,-0.46085,-0.0714368,0,0.051136,-0.339495,1.086375,-0.717205,-0.06876
0,0.0553952,-0.699149,1.143709,-0.460838,-0.0616032,0,0.0441712,-0.339821,1.084995,-0.719634,-0.0594176
0,0.0463552,-0.692362,1.140066,-0.461468,-0.0515984,0,0.0277776,-0.340071,1.083468,-0.722063,-0.0498368
0,-0.0001644,-0.658339,1.128521,-0.470112,0.0001836,0,-0.000132,-0.339727,1.073512,-0.733884,0.0001776
0,-0.0010788,-0.657558,1.128647,-0.47063,0.0012096,0,-0.0008688,-0.339732,1.073284,-0.734204,0.00117
0,-0.0030144,-0.65589,1.128905,-0.471728,0.0033852,0,-0.0024288,-0.339809,1.072911,-0.734926,0.0032724
0,-0.0059592,-0.653316,1.129281,-0.473399,0.0067008,0,-0.0048048,-0.340033,1.072534,-0.736103,0.006474
0,-0.009774,-0.649918,1.129733,-0.475562,0.0110076,0,-0.0078852,-0.340482,1.072321,-0.737742,0.0106308
